Year,Constituency,Elected_string
2007,North Antrim,"3 DUP, 1 SDLP, 1 SF, 1 UUP"
2007,East Antrim,"3 DUP, 2 UUP, 1 Alliance"
2007,South Antrim,"2 DUP, 1 Alliance, 1 SDLP, 1 SF, 1 UUP"
2007,Belfast North,"2 DUP, 2 SF, 1 SDLP, 1 UUP"
2007,Belfast West,"5 SF, 1 SDLP"
2007,Belfast South,"2 SDLP, 1 Alliance, 1 DUP, 1 SF, 1 UUP"
2007,Belfast East,"3 DUP, 1 Alliance, 1 PUP, 1 UUP"
2007,North Down,"2 DUP, 2 UUP, 1 Alliance, 1 Green"
2007,Strangford,"4 DUP, 1 Alliance, 1 UUP"
2007,Lagan Valley,"3 DUP, 1 Alliance, 1 SF, 1 UUP"
2007,Upper Bann,"2 DUP, 2 UUP, 1 SDLP, 1 SF"
2007,South Down,"2 SDLP, 2 SF, 1 DUP, 1 UUP"
2007,Newry Armagh,"3 SF, 1 DUP, 1 SDLP, 1 UUP"
2007,Fermanagh South Tyrone,"2 DUP, 2 SF, 1 SDLP, 1 UUP"
2007,West Tyrone,"3 SF, 2 DUP, 1 Independent"
2007,Mid Ulster,"3 SF, 1 DUP, 1 SDLP, 1 UUP"
2007,Foyle,"3 SDLP, 2 SF, 1 DUP"
2007,East Londonderry,"3 DUP, 1 SDLP, 1 SF, 1 UUP"
2011,North Antrim,"3 DUP, 1 SF, 1 TUV, 1 UUP"
2011,East Antrim,"3 DUP, 1 Alliance, 1 SF, 1 UUP"
2011,South Antrim,"3 DUP, 1 Alliance, 1 SF, 1 UUP"
2011,Belfast North,"3 DUP, 2 SF, 1 SDLP"
2011,Belfast West,"5 SF, 1 SDLP"
2011,Belfast South,"2 SDLP, 1 Alliance, 1 DUP, 1 SF, 1 UUP"
2011,Belfast East,"3 DUP, 2 Alliance, 1 UUP"
2011,North Down,"3 DUP, 1 Alliance, 1 Green, 1 UUP"
2011,Strangford,"3 DUP, 2 UUP, 1 Alliance"
2011,Lagan Valley,"4 DUP, 1 Alliance, 1 UUP"
2011,Upper Bann,"2 DUP, 2 UUP, 1 SDLP, 1 SF"
2011,South Down,"2 SDLP, 2 SF, 1 DUP, 1 UUP"
2011,Newry Armagh,"3 SF, 1 DUP, 1 SDLP, 1 UUP"
2011,Fermanagh South Tyrone,"3 SF, 2 DUP, 1 UUP"
2011,West Tyrone,"3 SF, 1 DUP, 1 SDLP, 1 UUP"
2011,Mid Ulster,"3 SF, 1 DUP, 1 SDLP, 1 UUP"
2011,Foyle,"3 SDLP, 2 SF, 1 DUP"
2011,East Londonderry,"3 DUP, 1 Ind, 1 SDLP, 1 SF"
2016,North Antrim,"3 DUP, 1 SF, 1 TUV, 1 UUP"
2016,East Antrim,"3 DUP, 1 Alliance, 1 SF, 1 UUP"
2016,South Antrim,"3 DUP, 1 Alliance, 1 SF, 1 UUP"
2016,Belfast North,"3 DUP, 2 SF, 1 SDLP"
2016,Belfast West,"4 SF, 1 PBP, 1 SDLP"
2016,Belfast South,"2 DUP, 1 Alliance, 1 Green, 1 SDLP, 1 SF"
2016,Belfast East,"3 DUP, 2 Alliance, 1 UUP"
2016,North Down,"3 DUP, 1 Alliance, 1 Green, 1 UUP"
2016,Strangford,"3 DUP, 2 UUP, 1 Alliance"
2016,Lagan Valley,"3 DUP, 2 UUP, 1 Alliance"
2016,Upper Bann,"2 DUP, 2 SF, 2 UUP"
2016,South Down,"2 SDLP, 2 SF, 1 DUP, 1 UUP"
2016,Newry Armagh,"3 SF, 1 DUP, 1 SDLP, 1 UUP"
2016,Fermanagh South Tyrone,"2 DUP, 2 SF, 1 SDLP, 1 UUP"
2016,West Tyrone,"3 SF, 1 DUP, 1 SDLP, 1 UUP"
2016,Mid Ulster,"3 SF, 1 DUP, 1 SDLP, 1 UUP"
2016,Foyle,"2 SDLP, 2 SF, 1 DUP, 1 PBP"
2016,East Londonderry,"3 DUP, 1 Ind, 1 SDLP, 1 SF"
2017,North Antrim,"2 DUP, 1 SF, 1 TUV, 1 UUP"
2017,East Antrim,"2 DUP, 2 UUP, 1 Alliance"
2017,South Antrim,"2 DUP, 1 Alliance, 1 SF, 1 UUP"
2017,Belfast North,"2 DUP, 2 SF, 1 SDLP"
2017,Belfast West,"4 SF, 1 PBP"
2017,Belfast South,"1 Alliance, 1 DUP, 1 Green, 1 SDLP, 1 SF"
2017,Belfast East,"2 Alliance, 2 DUP, 1 UUP"
2017,North Down,"2 DUP, 1 Alliance, 1 Green, 1 UUP"
2017,Strangford,"3 DUP, 1 Alliance, 1 UUP"
2017,Lagan Valley,"2 DUP, 1 Alliance, 1 SDLP, 1 UUP"
2017,Upper Bann,"2 DUP, 1 SDLP, 1 SF, 1 UUP"
2017,South Down,"2 SDLP, 2 SF, 1 DUP"
2017,Newry Armagh,"3 SF, 1 DUP, 1 SDLP"
2017,Fermanagh South Tyrone,"3 SF, 1 DUP, 1 UUP"
2017,West Tyrone,"3 SF, 1 DUP, 1 SDLP"
2017,Mid Ulster,"3 SF, 1 DUP, 1 SDLP"
2017,Foyle,"2 SDLP, 2 SF, 1 DUP"
2017,East Londonderry,"2 DUP, 1 Ind, 1 SDLP, 1 SF"
