Workers Party,Independent,Labour Alternative,Social Democratic and Labour Party,Traditional Unionist Voice,Democratic Unionist Party,Cross-Community Labour Alternative,Ulster Unionist Party,People Before Profit Alliance,South Belfast Unionists,Cannabis Is Safer Than Alcohol,Green Party,UK Independence Party,Sinn Fein,Alliance Party,NI Labour Representation Committee,NI Conservatives,Progressive Unionist Party,votes_lost
Workers Party,NaN,0.004149377593360996,0.15767634854771784,0.21679701193822465,0.011526414591974302,0.02526087745109658,NaN,0.03527263192991709,0.2108294930875576,0.004149377593360996,NaN,0.23485572786201886,0.010869807700887878,0.06468631087825306,0.12706018828358542,0.04149377593360996,NaN,0.012944496497568375,0.32213615270869972
Independent,NaN,0.1278831202858959,0.0070052539404553416,0.17343633208357034,0.08902169626052678,0.1138999332206577,NaN,0.16145098588824605,0.2122844827586207,NaN,0.07972097658196313,0.11139741002106432,0.20490367775831875,0.12460159249025778,0.15433837273695405,NaN,NaN,0.31564613072877534,0.20652667178455666
Labour Alternative,NaN,0.05593186840828646,NaN,NaN,0.0071868767630307055,0.05036203891693767,NaN,0.0685089027435902,NaN,NaN,NaN,0.38403075983254575,0.04139641015505686,0.03424546777584131,0.20480802055446753,NaN,NaN,0.0504159404926604,0.1031137143575831
Social Democratic and Labour Party,NaN,0.05093259253553003,0.20457110609480814,0.8021086272781078,0.008896514252100671,0.02956952225325477,NaN,0.05060600695428812,0.04555247768544168,NaN,NaN,0.21270322709343178,0.013814745636981757,0.15933735046779335,0.4423414566315926,NaN,0.01933173547167118,0.07082392776523702,0.075477994741548884
Traditional Unionist Voice,NaN,0.0729237612916614,NaN,0.008928162997231053,0.8285445124823363,0.3653431659466669,NaN,0.33594774779591224,0.0016601082144613874,NaN,NaN,0.03378212867442144,0.25766615757577566,0.0014507109066808628,0.0199441278528613,NaN,0.02612330198537095,0.12575605628558306,0.090586948136876885
Democratic Unionist Party,NaN,0.04391476473234046,0.000881057268722467,0.06473588710011152,0.018421574913066816,0.7951036255638549,0.0003294117647058823,0.19032377039642795,0.08771929824561403,NaN,0.0031010910532693475,0.005914364015845815,0.018681128967183668,0.001878981886067832,0.008385518254441646,0.0008440682739763024,0.003093498838860297,0.025865912758300136,0.036655046937237222
Cross-Community Labour Alternative,NaN,NaN,NaN,0.10584478490186934,0.017939794051164294,0.03446234437228661,NaN,0.0914929496609379,NaN,NaN,NaN,0.3121524164902587,0.048437443938143594,0.08072907323023933,0.25295109612141653,NaN,NaN,NaN,0.055990097233683644
Ulster Unionist Party,NaN,0.018954371517748193,NaN,0.048574632037028415,0.05052719667546603,0.29914383431035907,NaN,0.7208106086480458,NaN,NaN,NaN,0.025887913041151674,0.016943682582429637,0.006084034174652615,0.05824990389828461,NaN,0.026619192946761617,0.013164109442347104,0.20377671623928317
People Before Profit Alliance,0.0752390118703882,NaN,NaN,0.24986307360251528,NaN,0.01710469245844757,NaN,0.017404435719482997,NaN,NaN,NaN,0.12153994225216554,NaN,0.3454146267164428,0.12845152246859273,NaN,NaN,0.0,0.1433721719732417
South Belfast Unionists,NaN,0.0584958217270195,0.008356545961002786,0.022284122562674095,0.15877437325905291,0.2757660167130919,NaN,0.24512534818941503,NaN,NaN,NaN,0.022284122562674095,0.07799442896935933,0.005571030640668524,0.0584958217270195,NaN,NaN,0.016713091922005572,0.050139275766016622
Cannabis Is Safer Than Alcohol,NaN,0.1205846391743309,NaN,0.152062377135214,0.013431647036107358,0.05065359477124183,NaN,0.09332883469296582,NaN,NaN,NaN,0.15522875816993464,0.08534466113149257,0.2819231111515209,0.16790162193473643,NaN,NaN,NaN,0.23477582322290771
Green Party,0.29818411755811236,0.18629330927001672,NaN,0.12487821603260167,0.01691675915767704,0.03448167369704243,NaN,0.06231710473918929,0.25413322632423757,NaN,0.18953471622010948,NaN,0.03844468933019837,0.08552525047048355,0.4132090744323252,NaN,NaN,0.015287381158167676,0.18146909632759275
UK Independence Party,0.03321779318313114,0.0678861081907715,NaN,0.02389121972577552,0.2722984728170228,0.2975079173840705,NaN,0.21266872742159926,0.038854891441026065,NaN,NaN,0.04461628563877742,NaN,0.008424937934343893,0.05260038087986198,NaN,NaN,0.16675272919068715,0.1297812401533891
Sinn Fein,0.25112381821052077,0.00944947541004536,NaN,0.20411994946921502,0.001899381213055526,0.012676153222877646,NaN,0.021876471741115153,0.017643558944505935,NaN,NaN,0.14233327092890538,0.009556194937946199,0.732879063614379,0.10748169587207919,0.0008510638297872341,NaN,0.005397213258079725,0.17243210090186417
