Alliance Party,Animal Welfare Party,Cannabis Is Safer Than Alcohol,Cross-Community Labour Alternative,Democracy First,Democratic Unionist Party,Green Party,Independent,Labour Alternative,NI Conservatives,NI Labour Representation Committee,Northern Ireland First,People Before Profit Alliance,Progressive Unionist Party,Sinn Fein,Social Democratic and Labour Party,South Belfast Unionists,Traditional Unionist Voice,UK Independence Party,Ulster Unionist Party,Workers Party,votes_lost
Alliance Party,0.64805,NaN,NaN,NaN,NaN,0.01627,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.08350,NaN,NaN,NaN,0.01462,0.03390,NaN,0.20366
Animal Welfare Party,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cannabis Is Safer Than Alcohol,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cross-Community Labour Alternative,0.25295,NaN,NaN,NaN,NaN,0.03446,0.31215,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.08073,0.10584,NaN,0.01794,0.04844,0.09149,NaN,0.05599
Democracy First,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Democratic Unionist Party,0.01071,NaN,NaN,0.00033,NaN,0.80607,0.00132,NaN,NaN,NaN,NaN,NaN,NaN,0.00642,0.00033,0.00082,NaN,0.01235,0.03344,0.09553,NaN,0.03268
Green Party,0.51903,NaN,NaN,NaN,NaN,0.02801,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.03383,0.08459,NaN,0.01804,0.05663,0.09634,NaN,0.16353
Independent,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Labour Alternative,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NI Conservatives,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NI Labour Representation Committee,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Northern Ireland First,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
People Before Profit Alliance,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Progressive Unionist Party,0.01079,NaN,NaN,0.01295,NaN,0.16507,0.02159,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00216,0.00432,NaN,0.11488,0.37576,0.27088,NaN,0.02159
Sinn Fein,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Social Democratic and Labour Party,0.40023,NaN,NaN,NaN,NaN,0.01899,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.40500,NaN,NaN,0.00580,0.01377,0.02116,NaN,0.13506
South Belfast Unionists,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Traditional Unionist Voice,0.02963,NaN,NaN,NaN,NaN,0.34584,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00111,NaN,NaN,NaN,0.22740,0.32196,NaN,0.07406
UK Independence Party,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ulster Unionist Party,0.06295,NaN,NaN,NaN,NaN,0.20103,0.01071,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01607,0.01903,NaN,0.06647,0.00190,0.59717,NaN,0.02467
Workers Party,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
votes_lost,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
