Alliance Party,Animal Welfare Party,Cannabis Is Safer Than Alcohol,Cross-Community Labour Alternative,Democracy First,Democratic Unionist Party,Green Party,Independent,Labour Alternative,NI Conservatives,NI Labour Representation Committee,Northern Ireland First,People Before Profit Alliance,Progressive Unionist Party,Sinn Fein,Social Democratic and Labour Party,South Belfast Unionists,Traditional Unionist Voice,UK Independence Party,Ulster Unionist Party,Workers Party,votes_lost
Workers Party,0.12706,NaN,NaN,NaN,NaN,0.02526,0.23486,0.00415,0.15768,NaN,0.04149,NaN,0.21083,0.01294,0.06469,0.21680,0.00415,0.01153,0.01087,0.03527,NaN,0.32214
Independent,0.15434,NaN,0.07972,NaN,NaN,0.11390,0.11140,0.12788,0.00701,NaN,NaN,NaN,0.21228,0.31565,0.12460,0.17344,NaN,0.08902,0.20490,0.16145,NaN,0.20653
Labour Alternative,0.20481,NaN,NaN,NaN,NaN,0.05036,0.38403,0.05593,NaN,NaN,NaN,NaN,NaN,0.05042,0.03425,NaN,NaN,0.00719,0.04140,0.06851,NaN,0.10311
Social Democratic and Labour Party,0.44234,NaN,NaN,NaN,NaN,0.02957,0.21270,0.05093,0.20457,0.01933,NaN,NaN,0.04555,0.07082,0.15934,0.80211,NaN,0.00890,0.01381,0.05061,NaN,0.07548
Traditional Unionist Voice,0.01994,NaN,NaN,NaN,NaN,0.36534,0.03378,0.07292,NaN,0.02612,NaN,NaN,0.00166,0.12576,0.00145,0.00893,NaN,0.82854,0.25767,0.33595,NaN,0.09059
Democratic Unionist Party,0.00839,NaN,0.00310,0.00033,NaN,0.79510,0.00591,0.04391,0.00088,0.00309,0.00084,NaN,0.08772,0.02587,0.00188,0.06474,NaN,0.01842,0.01868,0.19032,NaN,0.03666
Cross-Community Labour Alternative,0.25295,NaN,NaN,NaN,NaN,0.03446,0.31215,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.08073,0.10584,NaN,0.01794,0.04844,0.09149,NaN,0.05599
Ulster Unionist Party,0.05825,NaN,NaN,NaN,NaN,0.29914,0.02589,0.01895,NaN,0.02662,NaN,NaN,NaN,0.01316,0.00608,0.04857,NaN,0.05053,0.01694,0.72081,NaN,0.20378
People Before Profit Alliance,0.12845,NaN,NaN,NaN,NaN,0.01710,0.12154,NaN,NaN,NaN,NaN,NaN,NaN,0.00000,0.34541,0.24986,NaN,NaN,NaN,0.01740,0.07524,0.14337
South Belfast Unionists,0.05850,NaN,NaN,NaN,NaN,0.27577,0.02228,0.05850,0.00836,NaN,NaN,NaN,NaN,0.01671,0.00557,0.02228,NaN,0.15877,0.07799,0.24513,NaN,0.05014
Cannabis Is Safer Than Alcohol,0.16790,NaN,NaN,NaN,NaN,0.05065,0.15523,0.12058,NaN,NaN,NaN,NaN,NaN,NaN,0.28192,0.15206,NaN,0.01343,0.08534,0.09333,NaN,0.23478
Green Party,0.41321,NaN,0.18953,NaN,NaN,0.03448,NaN,0.18629,NaN,NaN,NaN,NaN,0.25413,0.01529,0.08553,0.12488,NaN,0.01692,0.03844,0.06232,0.29818,0.18147
UK Independence Party,0.05260,NaN,NaN,NaN,NaN,0.29751,0.04462,0.06789,NaN,NaN,NaN,NaN,0.03885,0.16675,0.00842,0.02389,NaN,0.27230,NaN,0.21267,0.03322,0.12978
Sinn Fein,0.10748,NaN,NaN,NaN,NaN,0.01268,0.14233,0.00945,NaN,NaN,0.00085,0.00000,0.01764,0.00540,0.73288,0.20412,NaN,0.00190,0.00956,0.02188,0.25112,0.17243
Alliance Party,0.74593,NaN,0.05929,NaN,NaN,0.03545,0.12202,0.27625,NaN,NaN,NaN,NaN,NaN,0.00454,0.05659,0.29306,NaN,0.02776,0.01462,0.13421,0.31327,0.25242
NI Labour Representation Committee,0.17562,NaN,NaN,NaN,NaN,0.01214,0.37755,0.05741,0.24031,0.01666,NaN,NaN,NaN,0.01163,0.04153,0.07873,0.00388,0.00388,0.00272,0.05935,NaN,0.05484
NI Conservatives,0.13697,0.02273,0.04545,NaN,NaN,0.13015,0.09264,0.05120,0.00827,NaN,0.01242,NaN,NaN,0.00627,0.00827,0.14780,0.03727,0.02487,0.08000,0.31018,0.00000,0.08751
Progressive Unionist Party,0.04116,NaN,0.02753,0.01295,NaN,0.33397,0.04885,0.19125,0.02477,NaN,NaN,NaN,NaN,NaN,0.00284,0.00684,NaN,0.10326,0.23449,0.27577,NaN,0.09486
