Alliance Party,Animal Welfare Party,Cannabis Is Safer Than Alcohol,Cross-Community Labour Alternative,Democracy First,Democratic Unionist Party,Green Party,Independent,Labour Alternative,NI Conservatives,NI Labour Representation Committee,Northern Ireland First,People Before Profit Alliance,Progressive Unionist Party,Sinn Fein,Social Democratic and Labour Party,South Belfast Unionists,Traditional Unionist Voice,UK Independence Party,Ulster Unionist Party,Workers Party,votes_lost
Workers Party,0.08403,NaN,NaN,NaN,NaN,0.01671,0.15532,0.00274,0.10428,NaN,0.02744,NaN,0.13943,0.00856,0.06417,0.14338,0.00274,0.00762,0.00719,0.02333,NaN,0.21305
Independent,0.07014,NaN,0.03623,NaN,NaN,0.06039,0.06750,0.05811,0.00318,NaN,NaN,NaN,0.09647,0.14344,0.08494,0.07882,NaN,0.04045,0.09312,0.07337,NaN,0.09385
Labour Alternative,0.20481,NaN,NaN,NaN,NaN,0.05036,0.38403,0.05593,NaN,NaN,NaN,NaN,NaN,0.05042,0.03425,NaN,NaN,0.00719,0.04140,0.06851,NaN,0.10311
Social Democratic and Labour Party,0.17144,NaN,NaN,NaN,NaN,0.01175,0.10853,0.03124,0.07929,0.00749,NaN,NaN,0.08222,0.02745,0.09263,0.31087,NaN,0.00345,0.00535,0.02041,NaN,0.04787
Traditional Unionist Voice,0.00903,NaN,NaN,NaN,NaN,0.17528,0.01529,0.03302,NaN,0.01183,NaN,NaN,0.00075,0.05693,0.00087,0.00408,NaN,0.37512,0.11666,0.15657,NaN,0.04457
Democratic Unionist Party,0.00721,NaN,0.00232,0.00022,NaN,0.53485,0.00416,0.03251,0.00059,0.00239,0.00102,NaN,0.05882,0.01895,0.00103,0.04821,NaN,0.02362,0.01958,0.22308,NaN,0.02144
Cross-Community Labour Alternative,0.25295,NaN,NaN,NaN,NaN,0.03446,0.31215,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.08073,0.10584,NaN,0.01794,0.04844,0.09149,NaN,0.05599
Ulster Unionist Party,0.03899,NaN,NaN,NaN,NaN,0.18615,0.01555,0.03085,NaN,0.01599,NaN,NaN,NaN,0.01186,0.00448,0.06534,NaN,0.03036,0.02758,0.42609,NaN,0.14676
People Before Profit Alliance,0.11695,NaN,NaN,NaN,NaN,0.01557,0.11065,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.31447,0.22748,NaN,NaN,NaN,0.01585,0.06850,0.13053
South Belfast Unionists,0.05850,NaN,NaN,NaN,NaN,0.27577,0.02228,0.05850,0.00836,NaN,NaN,NaN,NaN,0.01671,0.00557,0.02228,NaN,0.15877,0.07799,0.24513,NaN,0.05014
Cannabis Is Safer Than Alcohol,0.12389,NaN,NaN,NaN,NaN,0.03738,0.11454,0.08898,NaN,NaN,NaN,NaN,NaN,NaN,0.20803,0.11220,NaN,0.00991,0.06297,0.06887,NaN,0.17324
Green Party,0.21546,NaN,0.09883,NaN,NaN,0.01798,NaN,0.09714,NaN,NaN,NaN,NaN,0.13251,0.00797,0.05352,0.06512,NaN,0.00882,0.02005,0.03249,0.15548,0.09462
UK Independence Party,0.03865,NaN,NaN,NaN,NaN,0.21863,0.03934,0.04989,NaN,NaN,NaN,NaN,0.02855,0.12254,0.00867,0.01756,NaN,0.20010,NaN,0.15628,0.02441,0.09537
Sinn Fein,0.06534,NaN,NaN,NaN,NaN,0.00638,0.07211,0.00479,NaN,NaN,0.00043,0.00000,0.00894,0.00273,0.44945,0.13743,NaN,0.00096,0.00484,0.01267,0.12723,0.10670
Alliance Party,0.29286,NaN,0.02328,NaN,NaN,0.01884,0.07038,0.10846,NaN,NaN,NaN,NaN,NaN,0.00178,0.03555,0.12328,NaN,0.01090,0.02476,0.07137,0.12299,0.09554
NI Labour Representation Committee,0.15456,NaN,NaN,NaN,NaN,0.01069,0.33228,0.05052,0.21150,0.01466,NaN,NaN,NaN,0.01023,0.03655,0.06929,0.00341,0.00341,0.00239,0.05223,NaN,0.04826
NI Conservatives,0.11369,0.01886,0.03773,NaN,NaN,0.10803,0.07689,0.04250,0.00687,NaN,0.01031,NaN,NaN,0.00521,0.00915,0.12268,0.03093,0.02064,0.06640,0.25746,0.00000,0.07264
Progressive Unionist Party,0.02941,NaN,0.01967,0.00926,NaN,0.23863,0.03490,0.13666,0.01770,NaN,NaN,NaN,NaN,NaN,0.00271,0.00489,NaN,0.07379,0.16755,0.19705,NaN,0.06778
