Alliance Party,Animal Welfare Party,Cannabis Is Safer Than Alcohol,Cross-Community Labour Alternative,Democracy First,Democratic Unionist Party,Green Party,Independent,Labour Alternative,NI Conservatives,NI Labour Representation Committee,Northern Ireland First,People Before Profit Alliance,Progressive Unionist Party,Sinn Fein,Social Democratic and Labour Party,South Belfast Unionists,Traditional Unionist Voice,UK Independence Party,Ulster Unionist Party,Workers Party,votes_lost
Alliance Party,0.82871,NaN,NaN,NaN,NaN,0.02543,0.07375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.07212
Animal Welfare Party,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cannabis Is Safer Than Alcohol,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cross-Community Labour Alternative,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Democracy First,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Democratic Unionist Party,0.00564,NaN,NaN,NaN,NaN,0.85198,0.00617,0.00652,0.00088,0.00159,NaN,NaN,NaN,0.01762,0.00000,0.00335,NaN,0.01198,0.00670,0.05956,NaN,0.02802
Green Party,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Independent,0.02518,NaN,NaN,NaN,NaN,0.23393,0.06518,NaN,NaN,NaN,NaN,NaN,NaN,0.31565,NaN,NaN,NaN,NaN,NaN,0.23352,NaN,0.12654
Labour Alternative,0.20481,NaN,NaN,NaN,NaN,0.05036,0.38403,0.05593,NaN,NaN,NaN,NaN,NaN,0.05042,0.03425,NaN,NaN,0.00719,0.04140,0.06851,NaN,0.10311
NI Conservatives,0.17295,NaN,NaN,NaN,NaN,0.12656,0.10383,0.01034,0.01655,NaN,NaN,NaN,NaN,0.00012,0.00414,NaN,NaN,0.03111,0.12203,0.34790,NaN,0.06449
NI Labour Representation Committee,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Northern Ireland First,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
People Before Profit Alliance,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Progressive Unionist Party,0.09909,NaN,NaN,NaN,NaN,0.35269,0.09567,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.22732,NaN,0.22523
Sinn Fein,0.15427,NaN,NaN,NaN,NaN,0.00610,0.33843,0.00205,NaN,NaN,NaN,NaN,NaN,0.01011,NaN,NaN,NaN,0.00000,NaN,0.00607,NaN,0.48296
Social Democratic and Labour Party,0.50085,NaN,NaN,NaN,NaN,0.07506,0.26806,0.04938,0.20457,0.03527,NaN,NaN,NaN,0.07082,0.11992,NaN,NaN,0.01411,0.01411,0.08465,NaN,-0.43679
South Belfast Unionists,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Traditional Unionist Voice,0.02706,NaN,NaN,NaN,NaN,0.27801,0.03975,0.08211,NaN,NaN,NaN,NaN,NaN,0.13822,NaN,NaN,NaN,NaN,NaN,0.31307,NaN,0.12178
UK Independence Party,0.03808,NaN,NaN,NaN,NaN,0.22940,0.08657,0.06439,NaN,NaN,NaN,NaN,NaN,0.15642,0.00418,NaN,NaN,0.17584,NaN,0.15957,NaN,0.08556
Ulster Unionist Party,0.05055,NaN,NaN,NaN,NaN,0.11312,0.02405,NaN,NaN,NaN,NaN,NaN,NaN,0.03584,NaN,NaN,NaN,NaN,NaN,0.72695,NaN,0.04948
Workers Party,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
votes_lost,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
