Alliance Party,Animal Welfare Party,Cannabis Is Safer Than Alcohol,Cross-Community Labour Alternative,Democracy First,Democratic Unionist Party,Green Party,Independent,Labour Alternative,NI Conservatives,NI Labour Representation Committee,Northern Ireland First,People Before Profit Alliance,Progressive Unionist Party,Sinn Fein,Social Democratic and Labour Party,South Belfast Unionists,Traditional Unionist Voice,UK Independence Party,Ulster Unionist Party,Workers Party,votes_lost
Alliance Party,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Animal Welfare Party,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cannabis Is Safer Than Alcohol,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cross-Community Labour Alternative,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Democracy First,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Democratic Unionist Party,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Green Party,0.33423,NaN,NaN,NaN,NaN,0.03411,NaN,NaN,NaN,NaN,NaN,NaN,0.25413,0.01404,0.10706,0.10875,NaN,NaN,NaN,0.02508,NaN,0.12259
Independent,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Labour Alternative,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NI Conservatives,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NI Labour Representation Committee,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Northern Ireland First,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
People Before Profit Alliance,0.21314,NaN,NaN,NaN,NaN,0.02955,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.19479,0.25566,NaN,NaN,NaN,0.03001,NaN,0.27685
Progressive Unionist Party,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sinn Fein,0.02451,NaN,NaN,NaN,NaN,0.00221,0.00562,0.00783,NaN,NaN,0.00085,0.00000,0.01634,0.00068,0.74315,0.14349,NaN,0.00119,0.00051,0.00068,0.00596,0.04698
Social Democratic and Labour Party,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
South Belfast Unionists,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Traditional Unionist Voice,0.00000,NaN,NaN,NaN,NaN,0.37814,0.01076,NaN,NaN,NaN,NaN,NaN,0.00166,0.13681,0.00012,0.00652,NaN,NaN,0.28130,0.14295,NaN,0.04175
UK Independence Party,0.02523,NaN,NaN,NaN,NaN,0.42334,0.03039,NaN,NaN,NaN,NaN,NaN,0.03885,0.17709,0.00210,0.02314,NaN,NaN,NaN,0.19176,NaN,0.08810
Ulster Unionist Party,0.12729,NaN,NaN,NaN,NaN,0.62936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00252,0.03558,NaN,NaN,NaN,NaN,NaN,0.20525
Workers Party,0.14624,NaN,NaN,NaN,NaN,0.03664,0.19585,NaN,NaN,NaN,NaN,NaN,0.21083,0.01344,0.08618,0.20123,NaN,0.00768,0.01344,0.00768,NaN,0.08080
votes_lost,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
