Alliance Party,Animal Welfare Party,Cannabis Is Safer Than Alcohol,Cross-Community Labour Alternative,Democracy First,Democratic Unionist Party,Green Party,Independent,Labour Alternative,NI Conservatives,NI Labour Representation Committee,Northern Ireland First,People Before Profit Alliance,Progressive Unionist Party,Sinn Fein,Social Democratic and Labour Party,South Belfast Unionists,Traditional Unionist Voice,UK Independence Party,Ulster Unionist Party,Workers Party,votes_lost
Alliance Party,0.76102,NaN,NaN,NaN,NaN,0.01304,0.08283,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00000,0.10187,NaN,NaN,NaN,0.02080,NaN,0.02044
Animal Welfare Party,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cannabis Is Safer Than Alcohol,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cross-Community Labour Alternative,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Democracy First,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Democratic Unionist Party,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Green Party,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Independent,0.03503,NaN,NaN,NaN,NaN,0.36427,0.02802,NaN,0.00701,NaN,NaN,NaN,NaN,NaN,0.00000,0.01576,NaN,0.16637,0.20490,0.13660,NaN,0.04203
Labour Alternative,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NI Conservatives,0.16770,NaN,NaN,NaN,NaN,0.16770,0.08075,0.01863,0.00000,NaN,0.01242,NaN,NaN,0.01242,0.00621,0.06832,0.03727,0.01863,0.04348,0.29814,0.00000,0.06832
NI Labour Representation Committee,0.20930,NaN,NaN,NaN,NaN,0.01163,0.27132,0.00775,0.24031,NaN,NaN,NaN,NaN,0.01163,0.04264,0.08527,0.00388,0.00775,0.00388,0.04651,NaN,0.05814
Northern Ireland First,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
People Before Profit Alliance,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Progressive Unionist Party,0.02252,NaN,NaN,NaN,NaN,0.34009,0.02928,0.15541,0.02477,NaN,NaN,NaN,NaN,NaN,0.00000,0.00450,NaN,0.07207,0.17117,0.13964,NaN,0.04054
Sinn Fein,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Social Democratic and Labour Party,NaN,NaN,NaN,NaN,NaN,0.01313,0.06546,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00000,0.83260,NaN,NaN,NaN,0.00966,NaN,0.07915
South Belfast Unionists,0.05850,NaN,NaN,NaN,NaN,0.27577,0.02228,0.05850,0.00836,NaN,NaN,NaN,NaN,0.01671,0.00557,0.02228,NaN,0.15877,0.07799,0.24513,NaN,0.05014
Traditional Unionist Voice,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UK Independence Party,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ulster Unionist Party,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Workers Party,0.10788,NaN,NaN,NaN,NaN,0.00000,0.27386,0.00415,0.15768,NaN,0.04149,NaN,NaN,0.01245,0.10788,0.23237,0.00415,0.00415,0.00830,0.00415,NaN,0.04149
votes_lost,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
