Alliance Party,Animal Welfare Party,Cannabis Is Safer Than Alcohol,Cross-Community Labour Alternative,Democracy First,Democratic Unionist Party,Green Party,Independent,Labour Alternative,NI Conservatives,NI Labour Representation Committee,Northern Ireland First,People Before Profit Alliance,Progressive Unionist Party,Sinn Fein,Social Democratic and Labour Party,South Belfast Unionists,Traditional Unionist Voice,UK Independence Party,Ulster Unionist Party,Workers Party,votes_lost
Alliance Party,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Animal Welfare Party,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cannabis Is Safer Than Alcohol,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Cross-Community Labour Alternative,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Democracy First,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Democratic Unionist Party,0.01123,NaN,NaN,NaN,NaN,0.85580,NaN,0.01213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00809,NaN,NaN,NaN,0.06289,NaN,0.04987
Green Party,0.56855,NaN,NaN,NaN,NaN,0.05561,NaN,0.07287,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.09588,NaN,0.01534,NaN,0.05561,NaN,0.13615
Independent,0.09972,NaN,NaN,NaN,NaN,0.00000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02059,NaN,NaN,NaN,0.33419,NaN,0.54549
Labour Alternative,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NI Conservatives,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NI Labour Representation Committee,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Northern Ireland First,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
People Before Profit Alliance,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Progressive Unionist Party,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sinn Fein,0.14048,NaN,NaN,NaN,NaN,0.01360,0.07100,0.01057,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.62538,NaN,0.00151,0.01662,0.00000,NaN,0.12085
Social Democratic and Labour Party,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
South Belfast Unionists,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Traditional Unionist Voice,0.03425,NaN,NaN,NaN,NaN,0.45268,NaN,0.12516,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01059,NaN,NaN,NaN,0.23163,NaN,0.14570
UK Independence Party,0.07931,NaN,NaN,NaN,NaN,0.29492,0.06196,0.08302,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.02974,NaN,0.21190,NaN,0.12392,NaN,0.11524
Ulster Unionist Party,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Workers Party,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
votes_lost,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
