Alliance Party,Animal Welfare Party,Cannabis Is Safer Than Alcohol,Cross-Community Labour Alternative,Democracy First,Democratic Unionist Party,Green Party,Independent,Labour Alternative,NI Conservatives,NI Labour Representation Committee,Northern Ireland First,People Before Profit Alliance,Progressive Unionist Party,Sinn Fein,Social Democratic and Labour Party,South Belfast Unionists,Traditional Unionist Voice,UK Independence Party,Ulster Unionist Party,Workers Party,votes_lost
Workers Party,0.08403,NaN,NaN,NaN,NaN,0.01671,0.15532,0.00274,0.10428,NaN,0.02744,NaN,0.13943,0.00856,0.06417,0.14338,0.00274,0.00762,0.00719,0.02333,NaN,0.21305
Independent,0.08733,NaN,NaN,NaN,NaN,0.08998,0.08404,NaN,0.00396,NaN,NaN,NaN,NaN,0.17860,0.09636,0.04804,NaN,0.05037,0.11594,0.11922,NaN,0.12615
Labour Alternative,0.20481,NaN,NaN,NaN,NaN,0.05036,0.38403,0.05593,NaN,NaN,NaN,NaN,NaN,0.05042,0.03425,NaN,NaN,0.00719,0.04140,0.06851,NaN,0.10311
Social Democratic and Labour Party,0.20418,NaN,NaN,NaN,NaN,0.01434,0.16033,0.05091,0.09443,0.00892,NaN,NaN,0.17483,0.03269,0.14444,NaN,NaN,0.00411,0.00638,0.02525,NaN,0.07919
Traditional Unionist Voice,0.01405,NaN,NaN,NaN,NaN,0.28803,0.02379,0.05136,NaN,0.01840,NaN,NaN,0.00117,0.08857,0.00140,0.00641,NaN,NaN,0.18146,0.25050,NaN,0.07486
Democratic Unionist Party,0.01039,NaN,0.00272,NaN,NaN,NaN,0.00294,0.05854,NaN,0.00268,0.00142,NaN,0.06238,0.02644,0.00160,0.10039,NaN,0.07734,0.02580,0.59778,NaN,0.02959
Cross-Community Labour Alternative,0.25295,NaN,NaN,NaN,NaN,0.03446,0.31215,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.08073,0.10584,NaN,0.01794,0.04844,0.09149,NaN,0.05599
Ulster Unionist Party,0.07146,NaN,NaN,NaN,NaN,0.30346,NaN,0.08963,NaN,NaN,NaN,NaN,NaN,NaN,0.00666,0.19842,NaN,NaN,0.09861,NaN,NaN,0.23176
People Before Profit Alliance,0.11695,NaN,NaN,NaN,NaN,0.01557,0.11065,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.31447,0.22748,NaN,NaN,NaN,0.01585,0.06850,0.13053
South Belfast Unionists,0.05850,NaN,NaN,NaN,NaN,0.27577,0.02228,0.05850,0.00836,NaN,NaN,NaN,NaN,0.01671,0.00557,0.02228,NaN,0.15877,0.07799,0.24513,NaN,0.05014
Cannabis Is Safer Than Alcohol,0.12389,NaN,NaN,NaN,NaN,0.03738,0.11454,0.08898,NaN,NaN,NaN,NaN,NaN,NaN,0.20803,0.11220,NaN,0.00991,0.06297,0.06887,NaN,0.17324
Green Party,0.21546,NaN,0.09883,NaN,NaN,0.01798,NaN,0.09714,NaN,NaN,NaN,NaN,0.13251,0.00797,0.05352,0.06512,NaN,0.00882,0.02005,0.03249,0.15548,0.09462
UK Independence Party,0.03865,NaN,NaN,NaN,NaN,0.21863,0.03934,0.04989,NaN,NaN,NaN,NaN,0.02855,0.12254,0.00867,0.01756,NaN,0.20010,NaN,0.15628,0.02441,0.09537
Sinn Fein,0.08534,NaN,NaN,NaN,NaN,0.00782,0.09713,0.00347,NaN,NaN,NaN,NaN,NaN,0.00556,NaN,0.27466,NaN,0.00114,0.00775,0.01883,0.27308,0.22522
Alliance Party,NaN,NaN,0.02853,NaN,NaN,0.02911,0.15297,0.13292,NaN,NaN,NaN,NaN,NaN,0.00219,0.05082,0.16116,NaN,0.01336,0.05366,0.10318,0.15073,0.12139
NI Labour Representation Committee,0.15456,NaN,NaN,NaN,NaN,0.01069,0.33228,0.05052,0.21150,0.01466,NaN,NaN,NaN,0.01023,0.03655,0.06929,0.00341,0.00341,0.00239,0.05223,NaN,0.04826
NI Conservatives,0.11369,0.01886,0.03773,NaN,NaN,0.10803,0.07689,0.04250,0.00687,NaN,0.01031,NaN,NaN,0.00521,0.00915,0.12268,0.03093,0.02064,0.06640,0.25746,0.00000,0.07264
Progressive Unionist Party,0.02941,NaN,0.01967,0.00926,NaN,0.23863,0.03490,0.13666,0.01770,NaN,NaN,NaN,NaN,NaN,0.00271,0.00489,NaN,0.07379,0.16755,0.19705,NaN,0.06778
