,Alliance Party,Animal Welfare Party,Cannabis Is Safer Than Alcohol,Cross-Community Labour Alternative,Democracy First,Democratic Unionist Party,Green Party,Independent,Labour Alternative,NI Conservatives,NI Labour Representation Committee,Northern Ireland First,People Before Profit Alliance,Progressive Unionist Party,Sinn Fein,Social Democratic and Labour Party,South Belfast Unionists,Traditional Unionist Voice,UK Independence Party,Ulster Unionist Party,Workers Party,votes_lost
Alliance Party,0.253465407491,0.0,0.0037730791126,0.0,0.0,0.0323356086532,0.0321440687731,0.0297829549601,0.000101328016962,4.87400587916e-05,0.0,0.0,0.00190257247037,0.000410870144726,0.0560149401107,0.181607062349,0.0,0.00376666594697,0.00430195150492,0.130864385703,0.0155711661508,0.253909198553
Animal Welfare Party,0.0200729927007,0.0,0.0602189781022,0.0,0.0,0.0565693430657,0.0948905109489,0.184306569343,0.0,0.0,0.0,0.0,0.0,0.0,0.13503649635,0.0839416058394,0.0,0.0,0.0,0.0583941605839,0.0,0.306569343066
Cannabis Is Safer Than Alcohol,0.046932187324,0.0,0.0,0.0,0.0,0.0132400514085,0.0320459843008,0.0671785028791,0.0,0.0,0.0,0.0,0.0150110136988,0.0,0.254192120736,0.181316179174,0.0,0.00375444005546,0.0238557053658,0.096728273666,0.0,0.265745541392
Cross-Community Labour Alternative,0.252951096121,0.0,0.0,0.0,0.0,0.0344623443723,0.31215241649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0807290732302,0.105844784902,0.0,0.0179397940512,0.0484374439381,0.0914929496609,0.0,0.0559900972337
Democracy First,0.203389830508,0.0,0.0,0.0,0.0,0.149717514124,0.122881355932,0.0324858757062,0.0,0.0,0.0,0.0,0.0,0.0,0.0127118644068,0.0508474576271,0.0,0.0169491525424,0.0338983050847,0.224576271186,0.0,0.152542372881
Democratic Unionist Party,0.00542364024224,0.0,0.000376537288645,1.50328575315e-05,0.0,0.597020272882,0.00231792346128,0.0131383595573,7.15850358641e-06,0.000578407089782,0.000371884261314,0.0,0.00304236402422,0.00269231319885,0.00175311752831,0.0283455266511,0.0,0.0131240425501,0.00621393903818,0.299876157888,0.0,0.0257033229774
Green Party,0.248529576473,0.0,0.0144690315045,0.0,0.0,0.0700931214899,0.0,0.0306284900558,0.0,0.0,0.0,0.0,0.0238259812157,0.00254244067905,0.0623973983584,0.117483679739,0.0,0.0161618585897,0.00698891182259,0.117604481672,0.017353877662,0.271921150738
Independent,0.0859376402529,0.0,0.00559199283802,0.0,0.0,0.100698380934,0.0277450438766,0.0487545630343,0.000203234339016,0.0,2.5404292377e-05,0.0,0.0147802173049,0.0211522912809,0.105418159733,0.119115392054,0.0,0.00865117772606,0.00800438444214,0.213099079789,0.00106698027983,0.239756057823
Labour Alternative,0.111394843009,0.0,0.0,0.0,0.0,0.180259320495,0.23990774137,0.0183163976771,0.0,0.0,0.0,0.0,0.0,0.0165100584265,0.0112146013403,0.0456978333735,0.0,0.00235353648276,0.0135563701407,0.112261728947,0.0,0.248527568738
NI Conservatives,0.167987567038,0.000305528227753,0.00307361397119,0.0,0.0,0.107006169633,0.0914272853002,0.0689505920119,0.00244422582202,0.0,0.000611056455506,0.0,0.013596006135,0.00631017633052,0.0212301381191,0.0536792727613,0.00183316936652,0.0191291223396,0.0515181697637,0.219685998456,0.0,0.171211908268
